Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Grupo de edad (product.metafields.shopify.age-group),Artículos de salud para bebés incluidos (product.metafields.shopify.baby-health-items-included),Características del vigilabebés (product.metafields.shopify.baby-monitor-features),Características del mobiliario para niños pequeños/bebés (product.metafields.shopify.baby-toddler-furniture-features),Características de sillas para niños pequeños/bebés (product.metafields.shopify.baby-toddler-seat-features),Características de la bolsa/caja (product.metafields.shopify.bag-case-features),Material de la bolsa/caja (product.metafields.shopify.bag-case-material),Características de almacenamiento de la bolsa/caja (product.metafields.shopify.bag-case-storage-features),Instrucciones de cuidado (product.metafields.shopify.care-instructions),Opciones de transporte (product.metafields.shopify.carry-options),Posiciones de transporte (product.metafields.shopify.carrying-positions),Instrucciones de limpieza (product.metafields.shopify.cleaning-instructions),Tipo de cierre (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Tecnología de conectividad (product.metafields.shopify.connectivity-technology),Tipo de control (product.metafields.shopify.control-type),Características de desarrollo (product.metafields.shopify.developmental-features),Características del organizador de pañales (product.metafields.shopify.diaper-organizer-features),Modo de color de pantalla (product.metafields.shopify.display-color-mode),Tecnología de pantalla (product.metafields.shopify.display-technology),Tejido (product.metafields.shopify.fabric),Mecanismo de plegado (product.metafields.shopify.folding-mechanism),Material de muebles/componentes (product.metafields.shopify.furniture-fixture-material),Grupo de edad de infantes (product.metafields.shopify.infant-age-group),Material (product.metafields.shopify.material),Tipo de medición (product.metafields.shopify.measuring-type),Tipo de montaje móvil (product.metafields.shopify.mobile-mounting-type),Diseño del nebulizador (product.metafields.shopify.nebulizer-design),Tecnología del nebulizador (product.metafields.shopify.nebulizer-technology),Diseño de chupete/mordedor (product.metafields.shopify.pacifier-teether-design),Características de diseño del patio de juegos (product.metafields.shopify.play-yard-design-features),Portabilidad (product.metafields.shopify.portability),Fuente de alimentación (product.metafields.shopify.power-source),Certificaciones y estándares del producto (product.metafields.shopify.product-certifications-standards),Accesorios para extractores (product.metafields.shopify.pump-accessories),Tipo de rango (product.metafields.shopify.range-type),Grupo de edad recomendado (product.metafields.shopify.recommended-age-group),Tipo de propulsión de juguete para montar (product.metafields.shopify.riding-toy-propulsion-type),Talla del calzado (product.metafields.shopify.shoe-size),Talla (product.metafields.shopify.size),Tiempo del ciclo de esterilización (product.metafields.shopify.sterilization-cycle-time),Método de esterilización (product.metafields.shopify.sterilization-method),Características del cochecito (product.metafields.shopify.stroller-features),Tipo de rueda de cochecito (product.metafields.shopify.stroller-wheel-type),Niveles de succión (product.metafields.shopify.suction-levels),Sexo objetivo (product.metafields.shopify.target-gender),Medición de temperatura (product.metafields.shopify.temperature-measurement),Muestra de prueba (product.metafields.shopify.test-sample),Material del juguete/juego (product.metafields.shopify.toy-game-material),Objetivo de tratamiento (product.metafields.shopify.treatment-objective),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vestido-manga-larga,Vestido Manga Larga,"",Baby Heaven,Apparel & Accessories > Clothing > Dresses,"","",true,Meses,0-3M,,,,,,,,,0.0,shopify,1,deny,manual,916.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8600.png?v=1757223049,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
vestido-manga-larga,,,,,,,,,3-6M,,,,,,,,,0.0,shopify,1,deny,manual,916.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
set-de-regalo-layette-para-bebe-recien-nacido,Set de Regalo Layette para Bebé Recién Nacido,"",Baby Heaven,Uncategorized,"","",true,Meses,0-3M,,,,,,,,,0.0,shopify,1,deny,manual,2488.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8601.png?v=1757222962,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
set-de-regalo-layette-para-bebe-recien-nacido,,,,,,,,,3-6M,,,,,,,,,0.0,shopify,0,deny,manual,2488.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
set-30-piezas,Set 30 Piezas,"",Baby Heaven,"Toys & Games > Toys > Dolls, Playsets & Toy Figures > Toy Playsets > Action Figure Playsets","","",true,Meses,0-3M,,,,,,,,,0.0,shopify,1,deny,manual,2944.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8602.png?v=1757222913,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
set-30-piezas,,,,,,,,,3-6M,,,,,,,,,0.0,shopify,0,deny,manual,2944.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
paquete-de-5-bodies-cruzados,Paquete de 5 Bodies Cruzados,"",Baby Heaven,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops > Bodysuits,"","",true,Meses,0-3M,,,,,,,,,0.0,shopify,1,deny,manual,886.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8604.png?v=1757222830,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
paquete-de-5-bodies-cruzados,,,,,,,,,3-6M,,,,,,,,,0.0,shopify,0,deny,manual,886.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
conjunto-para-bebe-de-lino-y-algodon,Conjunto para Bebé de Lino y Algodón,"",Baby Heaven,Baby & Toddler > Baby Gift Sets,"","",true,Meses,6-12M,,,,,,,,,0.0,shopify,1,deny,manual,722.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8605.png?v=1757222727,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
conjunto-para-bebe-de-lino-y-algodon,,,,,,,,,12-18M,,,,,,,,,0.0,shopify,1,deny,manual,722.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
waffle-set,Waffle Set,"",Baby Heaven,Uncategorized,"","",true,Meses,0-3M,,,,,,,,,0.0,shopify,1,deny,manual,746.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8606_e67ff53c-fa1c-4cd1-b4b8-efeedd80c553.png?v=1757222684,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
waffle-set,,,,,,,,,3-9M,,,,,,,,,0.0,shopify,1,deny,manual,746.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
conjunto-para-bebe-de-lino-y-algodon-con-punos-remangados,Conjunto para Bebé de Lino y Algodón con Puños Remangados,"",Baby Heaven,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops > Bodysuits,"","",true,Meses,6-12M,,,,,,,,,0.0,shopify,1,deny,manual,579.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8607_041a34cc-34c7-4020-9c5f-80ae43b1585e.png?v=1757222531,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8607_041a34cc-34c7-4020-9c5f-80ae43b1585e.png?v=1757222531,kg,,,active
conjunto-para-bebe-de-lino-y-algodon-con-punos-remangados,,,,,,,,,12-18M,,,,,,,,,0.0,shopify,1,deny,manual,579.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8607_041a34cc-34c7-4020-9c5f-80ae43b1585e.png?v=1757222531,kg,,,
conjunto-de-algodon-con-punto-acanalado-de-2-piezas,Conjunto de Algodón con Punto Acanalado de 2 Piezas,"",Baby Heaven,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits,"","",true,Meses,0-3M,,,,,,,,,0.0,shopify,1,deny,manual,1476.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8603.png?v=1757222410,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8603.png?v=1757222410,kg,,,active
conjunto-de-algodon-con-punto-acanalado-de-2-piezas,,,,,,,,,3-6M,,,,,,,,,0.0,shopify,1,deny,manual,1476.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8603.png?v=1757222410,kg,,,
conjunto-de-sueter-de-rayas-para-bebe,Conjunto de Suéter de Rayas para Bebé,"",Baby Heaven,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits,"","",true,Meses,0-3M,,,,,,,,,0.0,shopify,1,deny,manual,970.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8609.png?v=1757222322,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8609.png?v=1757222322,kg,,,active
conjunto-de-sueter-de-rayas-para-bebe,,,,,,,,,3-6M,,,,,,,,,0.0,shopify,1,deny,manual,970.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8609.png?v=1757222322,kg,,,
conjunto-de-2-piezas-de-lino,Conjunto de 2 piezas de lino,"",Baby Heaven,Uncategorized,"","",true,Meses,0-3,,Color,Beige claro,,,,,,0.0,shopify,1,deny,manual,1050.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8610.png?v=1757222161,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8610.png?v=1757222161,kg,,,active
conjunto-de-2-piezas-de-lino,,,,,,,,,0-3,,,Cafe,,,,,,0.0,shopify,0,deny,manual,1050.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8608.png?v=1757222139,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8608.png?v=1757222139,kg,,,
conjunto-de-2-piezas-de-lino,,,,,,,,,3-6,,,Beige claro,,,,,,0.0,shopify,0,deny,manual,1050.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8610.png?v=1757222161,kg,,,
conjunto-de-2-piezas-de-lino,,,,,,,,,3-6,,,Cafe,,,,,,0.0,shopify,1,deny,manual,1050.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_8608.png?v=1757222139,kg,,,
deslizador-infantil-de-plastico-color-gris-1-a-8-anos,Deslizador Infantil de Plástico – Color Gris (1 a 8 años),"<p data-start=""265"" data-end=""495"">¡Diversión asegurada para tus pequeños!<br data-start=""304"" data-end=""307"">Este <strong data-start=""312"" data-end=""346"">deslizador infantil color gris</strong> es perfecto para niños y niñas de <strong data-start=""381"" data-end=""395"">2 a 8 años</strong>. Fabricado con materiales resistentes y seguros, es ideal para su uso en interiores o exteriores.</p>
<p data-start=""497"" data-end=""741"">✅ <strong data-start=""499"" data-end=""520"">Edad recomendada:</strong> 1 a 8 años<br data-start=""531"" data-end=""534"">✅ <strong data-start=""536"" data-end=""549"">Material:</strong> Plástico de alta calidad<br data-start=""635"" data-end=""638"">✅ <strong data-start=""640"" data-end=""668"">Fácil de armar y limpiar</strong><br data-start=""668"" data-end=""671"">✅ <strong data-start=""673"" data-end=""689"" data-is-only-node="""">Dimensiones:</strong> 98 × 28 × 45 cm<br data-start=""705"" data-end=""708"">✅ <strong data-start=""710"" data-end=""732"">Peso del producto:</strong> 9.8 kg</p>
<p data-start=""743"" data-end=""847"">¡Haz que tus hijos disfruten horas de entretenimiento seguro y saludable con este deslizador infantil!</p>",Baby Heaven,Toys & Games > Outdoor Play Equipment > Slides,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,5800.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_5434.heic?v=1753917272,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3721.50,active
deslizador-infantil-de-plastico-color-gris-1-a-8-anos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_5433.heic?v=1753917272,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deslizador-infantil-de-plastico-color-gris-1-a-8-anos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_5435.heic?v=1753917258,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deslizador-infantil-de-plastico-color-gris-1-a-8-anos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/IMG_5436.heic?v=1753917258,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monitor-de-bebe-solo-audio-vtech-con-bateria-recargable-largo-alcance-y-sonido-nitido,"Monitor de Bebé Solo Audio – VTech con Batería Recargable, Largo Alcance y Sonido Nítido","<p data-start=""353"" data-end=""682"">Mantente siempre conectado con tu bebé gracias al <strong data-start=""403"" data-end=""438"">monitor de audio VTech mejorado</strong>, diseñado para ofrecer sonido cristalino, alcance extendido y comodidad durante todo el día. Su tecnología DECT 6.0 garantiza una conexión segura, sin interferencias ni ruidos molestos, para que escuches hasta el más mínimo suspiro de tu bebé.</p>
<p data-start=""684"" data-end=""920"">Con una batería recargable de larga duración y modo ECO que optimiza el consumo de energía, este monitor es ideal para uso en casa o en espacios grandes. Su diseño compacto y portátil te permite moverte con libertad sin perder conexión.</p>
<p data-start=""922"" data-end=""953""><strong data-start=""922"" data-end=""953"">Características destacadas:</strong></p>
<ul data-start=""955"" data-end=""1394"">
<li data-start=""955"" data-end=""1023"">
<p data-start=""957"" data-end=""1023"">🔇 <strong data-start=""960"" data-end=""998"">Sonido nítido y sin interferencias</strong> con tecnología DECT 6.0.</p>
</li>
<li data-start=""1024"" data-end=""1088"">
<p data-start=""1026"" data-end=""1088"">🔋 <strong data-start=""1029"" data-end=""1069"">Batería recargable de larga duración</strong> para uso continuo.</p>
</li>
<li data-start=""1089"" data-end=""1152"">
<p data-start=""1091"" data-end=""1152"">📶 <strong data-start=""1094"" data-end=""1125"">Alcance de hasta 300 metros</strong> (1000 pies) en exteriores.</p>
</li>
<li data-start=""1153"" data-end=""1220"">
<p data-start=""1155"" data-end=""1220"">🌿 <strong data-start=""1158"" data-end=""1182"">Modo ECO inteligente</strong>: ahorra energía cuando no hay sonido.</p>
</li>
<li data-start=""1221"" data-end=""1310"">
<p data-start=""1223"" data-end=""1310"">📱 <strong data-start=""1226"" data-end=""1256"">Indicador visual de sonido</strong>: luces LED que alertan incluso en ambientes ruidosos.</p>
</li>
<li data-start=""1311"" data-end=""1394"">
<p data-start=""1313"" data-end=""1394"">🧘 <strong data-start=""1316"" data-end=""1346"">Diseño compacto y portátil</strong>, ideal para llevar de habitación en habitación.</p>
</li>
</ul>
<p data-start=""1396"" data-end=""1549"">Una solución práctica y confiable para padres que buscan tranquilidad sin complicaciones tecnológicas. ¡Escucha a tu bebé con total claridad y seguridad!</p>",Baby Heaven,Baby & Toddler > Baby Safety > Baby Monitors > Audio Baby Monitors,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,970.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/0591/5448/files/61PzyDeMA-L._AC_SL1500__1.jpg?v=1753368703,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dect,,,,,,,,,,,,,,,,,,,,,largo-alcance,,,,,,,,,,,,,,,,kg,,602.50,active
monitor-de-bebe-solo-audio-vtech-con-bateria-recargable-largo-alcance-y-sonido-nitido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/61_AXzz_SFL._AC_SL1500.jpg?v=1753368702,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monitor-de-bebe-solo-audio-vtech-con-bateria-recargable-largo-alcance-y-sonido-nitido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0894/0591/5448/files/61lw83v714L._AC_SL1500.jpg?v=1753368702,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
